Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Partner_Disbursement,Chrome 87.0.4280.141,,,2021-01-22 12:03:54,2021-01-22 13:35:27,1h - 31m - 32.998s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_STATUS,Chrome 87.0.4280.141,,,2021-01-22 12:03:54,2021-01-22 12:45:30,41m - 36.169s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_STATUS.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:03:54,2021-01-22 12:45:30,41m - 35.998s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Export_Data,Chrome 87.0.4280.141,,,2021-01-22 12:45:30,2021-01-22 12:46:47,1m - 16.524s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Export_Data.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:45:30,2021-01-22 12:46:46,1m - 16.410s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_OrderID,Chrome 87.0.4280.141,,,2021-01-22 12:46:47,2021-01-22 12:48:03,1m - 16.250s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_OrderID.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:46:47,2021-01-22 12:48:03,1m - 16.175s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_Contract_Number,Chrome 87.0.4280.141,,,2021-01-22 12:48:03,2021-01-22 13:21:08,33m - 5.092s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_Contract_Number.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:48:03,2021-01-22 13:21:08,33m - 5.020s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Hold_Payment,Chrome 87.0.4280.141,,,2021-01-22 13:21:08,2021-01-22 13:35:27,14m - 18.783s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Hold_Payment.feature"")",Chrome 87.0.4280.141,,,2021-01-22 13:21:08,2021-01-22 13:35:27,14m - 18.695s,FAILED
