Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Partner_Disbursement_SBO,Chrome 87.0.4280.141,,,2021-01-22 11:44:18,2021-01-22 11:48:24,4m - 6.799s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement SBO/TC_Search_by_STATUS,Chrome 87.0.4280.141,,,2021-01-22 11:44:18,2021-01-22 11:48:11,3m - 53.144s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner Disbursement SBO/Search_by_STATUS.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:44:18,2021-01-22 11:48:11,3m - 52.967s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement SBO/TC_Search_by_OrderID,Chrome 87.0.4280.141,,,2021-01-22 11:48:11,2021-01-22 11:48:18,6.739s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner Disbursement SBO/Search_by_OrderID.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:48:11,2021-01-22 11:48:18,6.656s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement SBO/TC_Search_by_Contract_Number,Chrome 87.0.4280.141,,,2021-01-22 11:48:18,2021-01-22 11:48:24,6.733s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner Disbursement SBO/Search_by_Contract_Number.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:48:18,2021-01-22 11:48:24,6.653s,PASSED
