Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-22 11:59:45,2021-01-22 12:03:11,3m - 26.432s,FAILED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_View_Detail_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-22 11:59:45,2021-01-22 12:00:25,39.862s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/View_Detail_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:59:45,2021-01-22 12:00:25,39.718s,FAILED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_Export_Data_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-22 12:00:25,2021-01-22 12:00:35,9.661s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/Export_Data_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:00:25,2021-01-22 12:00:35,9.572s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_Search_by_STATUS_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-22 12:00:35,2021-01-22 12:03:04,2m - 29.825s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/Search_by_STATUS_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:00:35,2021-01-22 12:03:04,2m - 29.755s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_Search_by_Contract_Number_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-22 12:03:04,2021-01-22 12:03:11,6.925s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/Search_by_Contract_Number_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-22 12:03:05,2021-01-22 12:03:11,6.848s,PASSED
