Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Partner_Disbursement,Chrome 88.0.4324.146,,,2021-02-05 13:38:39,2021-02-05 13:44:11,5m - 31.819s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_STATUS,Chrome 88.0.4324.146,,,2021-02-05 13:38:39,2021-02-05 13:43:21,4m - 42.289s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_STATUS.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:38:39,2021-02-05 13:43:21,4m - 42.127s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Export_Data,Chrome 88.0.4324.146,,,2021-02-05 13:43:21,2021-02-05 13:43:33,11.594s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Export_Data.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:43:21,2021-02-05 13:43:33,11.508s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_OrderID,Chrome 88.0.4324.146,,,2021-02-05 13:43:33,2021-02-05 13:43:43,10.299s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_OrderID.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:43:33,2021-02-05 13:43:43,10.221s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_Contract_Number,Chrome 88.0.4324.146,,,2021-02-05 13:43:43,2021-02-05 13:43:53,10.101s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_Contract_Number.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:43:43,2021-02-05 13:43:53,10.019s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Hold_Payment,Chrome 88.0.4324.146,,,2021-02-05 13:43:53,2021-02-05 13:44:11,17.365s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Hold_Payment.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:43:53,2021-02-05 13:44:11,17.285s,FAILED
