Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BLIBLI,Chrome 87.0.4280.67,,,2020-11-23 22:44:45,2020-11-23 22:45:47,1m - 1.877s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/TC BLIBLI - Update Tbl CDS CDC TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 22:44:45,2020-11-23 22:44:49,3.607s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 22:44:46,2020-11-23 22:44:49,3.413s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/TC BLIBLI - Contract Dispatcher BLIBLI,Chrome 87.0.4280.67,,,2020-11-23 22:44:49,2020-11-23 22:45:47,58.080s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/Contract_Dispatcher_BLIBLI.feature"")",Chrome 87.0.4280.67,,,2020-11-23 22:44:49,2020-11-23 22:45:47,57.992s,PASSED
