Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SLIK_Gateway_Non_Customer,Chrome 86.0.4240.111,,,2020-10-28 16:38:43,2020-10-28 16:45:45,7m - 2.011s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/Open Menu SLIK Gateway Non Customer,Chrome 86.0.4240.111,,,2020-10-28 16:38:43,2020-10-28 16:39:27,43.985s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/Open_Menu_SLIK_Gateway_Non_Customer.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:38:43,2020-10-28 16:39:27,43.789s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.111,,,2020-10-28 16:39:27,2020-10-28 16:40:42,1m - 14.837s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:39:27,2020-10-28 16:40:42,1m - 14.705s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SELECT KTP NUMBER NON CUSTOMER from DB,Chrome 86.0.4240.111,,,2020-10-28 16:40:42,2020-10-28 16:40:43,1.405s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SELECT_KTP_NUMBER_NON_CUSTOMER_from_DB.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:40:42,2020-10-28 16:40:43,1.316s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By KTP,Chrome 86.0.4240.111,,,2020-10-28 16:40:43,2020-10-28 16:40:58,14.664s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateaway_Non_Customer_Search_By_KTP.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:40:43,2020-10-28 16:40:58,14.579s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By Status REQUESTED,Chrome 86.0.4240.111,,,2020-10-28 16:40:58,2020-10-28 16:41:13,14.951s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_Status_REQUESTED.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:40:58,2020-10-28 16:41:13,14.842s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer View Detail when Status REQUESTED,Chrome 86.0.4240.111,,,2020-10-28 16:41:13,2020-10-28 16:41:29,15.842s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_View_Detail_when_Status_REQUESTED.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:41:13,2020-10-28 16:41:29,15.758s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Approval_Non_Customer/Approve KTP Number,Chrome 86.0.4240.111,,,2020-10-28 16:41:29,2020-10-28 16:41:59,30.910s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Approval Non Customer/Approve_KTP_Number.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:41:29,2020-10-28 16:41:59,30.825s,PASSED
,,,,,,,
