Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CONTRACT_DISPATCHER_BPKB,Chrome 86.0.4240.80,,,2020-10-14 15:08:34,2020-10-14 15:22:17,13m - 43.386s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:08:34,2020-10-14 15:08:37,2.981s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:08:34,2020-10-14 15:08:37,2.804s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Contract_Dispatcher_BPKB,Chrome 86.0.4240.80,,,2020-10-14 15:08:37,2020-10-14 15:09:06,29.195s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Contract_Dispatcher_BPKB.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:08:37,2020-10-14 15:09:06,28.989s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:09:06,2020-10-14 15:09:07,0.960s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:09:06,2020-10-14 15:09:07,0.956s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Claim_Contract_BPKB_then_Save_it_Without_Register_Any_Mistakes,Chrome 86.0.4240.80,,,2020-10-14 15:09:07,2020-10-14 15:09:38,30.628s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Claim_Contract_BPKB_then_Save_it_Without_Register_Any_Mistakes.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:09:07,2020-10-14 15:09:38,30.554s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:09:38,2020-10-14 15:09:38,0.791s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:09:38,2020-10-14 15:09:38,0.787s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type,Chrome 86.0.4240.80,,,2020-10-14 15:09:38,2020-10-14 15:10:06,27.689s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:09:38,2020-10-14 15:10:06,27.597s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:10:06,2020-10-14 15:10:07,0.835s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:10:06,2020-10-14 15:10:07,0.831s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/PIck_Mistake_Without_Write_Textarea_Note_Before,Chrome 86.0.4240.80,,,2020-10-14 15:10:07,2020-10-14 15:10:34,27.219s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/PIck_Mistake_Without_Write_Textarea_Note_Before.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:10:07,2020-10-14 15:10:34,27.142s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:10:34,2020-10-14 15:10:35,1.016s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:10:34,2020-10-14 15:10:35,1.013s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Write_Textarea_Note_After,Chrome 86.0.4240.80,,,2020-10-14 15:10:35,2020-10-14 15:11:02,27.214s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Write_Textarea_Note_After.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:10:35,2020-10-14 15:11:02,27.135s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:11:02,2020-10-14 15:11:03,0.764s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:11:02,2020-10-14 15:11:03,0.761s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Column_PROCESSED_Turn_N_When_Status_RELEASE_BPKB,Chrome 86.0.4240.80,,,2020-10-14 15:11:03,2020-10-14 15:21:21,10m - 17.943s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Column_PROCESSED_Turn_N_When_Status_RELEASE_BPKB.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:11:03,2020-10-14 15:21:21,10m - 17.868s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_ADMIN/MANAGEMENT_ASSIGNMENT/Reset_All_Users,Chrome 86.0.4240.80,,,2020-10-14 15:21:21,2020-10-14 15:21:37,16.154s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_ADMIN/MANAGEMENT_ASSIGNMENT/Reset_All_Users.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:21:21,2020-10-14 15:21:37,16.072s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/BPKB_Does_Not_Exist_in_Contract_Dispatcher_Menu,Chrome 86.0.4240.80,,,2020-10-14 15:21:37,2020-10-14 15:22:15,38.061s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/BPKB_Does_Not_Exist_in_Contract_Dispatcher_Menu.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:21:37,2020-10-14 15:22:15,37.989s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-14 15:22:15,2020-10-14 15:22:17,1.686s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-14 15:22:15,2020-10-14 15:22:17,1.681s,PASSED
