Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SLIK_Gateway_Non_Customer,Chrome 86.0.4240.80,,,2020-10-15 18:31:11,2020-10-15 18:39:41,8m - 30.438s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/Open Menu SLIK Gateway Non Customer,Chrome 86.0.4240.80,,,2020-10-15 18:31:11,2020-10-15 18:31:52,41.504s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/Open_Menu_SLIK_Gateway_Non_Customer.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:31:11,2020-10-15 18:31:52,41.322s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.80,,,2020-10-15 18:31:52,2020-10-15 18:33:05,1m - 13.055s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:31:52,2020-10-15 18:33:05,1m - 12.931s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SELECT KTP NUMBER NON CUSTOMER from DB,Chrome 86.0.4240.80,,,2020-10-15 18:33:05,2020-10-15 18:33:07,1.394s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SELECT_KTP_NUMBER_NON_CUSTOMER_from_DB.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:33:05,2020-10-15 18:33:07,1.301s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By KTP,Chrome 86.0.4240.80,,,2020-10-15 18:33:07,2020-10-15 18:33:22,14.748s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateaway_Non_Customer_Search_By_KTP.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:33:07,2020-10-15 18:33:22,14.647s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By Status REQUESTED,Chrome 86.0.4240.80,,,2020-10-15 18:33:22,2020-10-15 18:33:36,14.358s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_Status_REQUESTED.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:33:22,2020-10-15 18:33:36,14.272s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Approval_Non_Customer/Approve KTP Number,Chrome 86.0.4240.80,,,2020-10-15 18:33:36,2020-10-15 18:34:09,32.763s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Approval Non Customer/Approve_KTP_Number.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:33:36,2020-10-15 18:34:09,32.675s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By Status APPROVED,Chrome 86.0.4240.80,,,2020-10-15 18:34:09,2020-10-15 18:34:27,18.202s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_Status_APPROVED.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:34:09,2020-10-15 18:34:27,18.115s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.80,,,2020-10-15 18:34:27,2020-10-15 18:35:40,1m - 13.385s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:34:27,2020-10-15 18:35:40,1m - 13.381s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Approval_Non_Customer/Reject KTP Number,Chrome 86.0.4240.80,,,2020-10-15 18:35:40,2020-10-15 18:36:06,25.346s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Approval Non Customer/Reject_KTP_Number.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:35:40,2020-10-15 18:36:06,25.256s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By Status NOT_APPROVED,Chrome 86.0.4240.80,,,2020-10-15 18:36:06,2020-10-15 18:36:22,16.429s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_Status_NOT_APPROVED.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:36:06,2020-10-15 18:36:22,16.343s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By DateStart DateEnd,Chrome 86.0.4240.80,,,2020-10-15 18:36:22,2020-10-15 18:36:38,15.695s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_DateStart_DateEnd.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:36:22,2020-10-15 18:36:38,15.613s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By DateStart ONLY,Chrome 86.0.4240.80,,,2020-10-15 18:36:38,2020-10-15 18:36:57,19.572s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_DateStart_ONLY.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:36:38,2020-10-15 18:36:57,19.487s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search by DateEnd ONLY,Chrome 86.0.4240.80,,,2020-10-15 18:36:57,2020-10-15 18:37:19,21.673s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_Search_By_DateEnd_ONLY.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:36:57,2020-10-15 18:37:19,21.583s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.80,,,2020-10-15 18:37:19,2020-10-15 18:38:31,1m - 12.126s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:37:19,2020-10-15 18:38:31,1m - 12.123s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer View Detail when Status REQUESTED,Chrome 86.0.4240.80,,,2020-10-15 18:38:31,2020-10-15 18:38:49,17.544s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_View_Detail_when_Status_REQUESTED.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:38:31,2020-10-15 18:38:49,17.458s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer View Detail when Status APPROVED,Chrome 86.0.4240.80,,,2020-10-15 18:38:49,2020-10-15 18:39:07,18.095s,FAILED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_View_Detail_when_Status_APPROVED.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:38:49,2020-10-15 18:39:07,18.009s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer View Detail when Status NOT_APPROVED,Chrome 86.0.4240.80,,,2020-10-15 18:39:07,2020-10-15 18:39:23,16.114s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateway_Non_Customer_View_Detail_when_Status_NOT_APPROVED.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:39:07,2020-10-15 18:39:23,16.028s,PASSED
,,,,,,,
