Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Dashboard_for_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 15:51:11,2021-01-21 15:55:56,4m - 45.064s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_Search_by_Status,Chrome 87.0.4280.141,,,2021-01-21 15:51:11,2021-01-21 15:54:59,3m - 48.090s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/Search_by_STATUS_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:51:11,2021-01-21 15:54:59,3m - 47.918s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_Search_by_Contract_Number_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 15:54:59,2021-01-21 15:55:06,6.381s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/Search_by_Contract_Number_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:54:59,2021-01-21 15:55:06,6.298s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_View_Detail_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 15:55:06,2021-01-21 15:55:46,40.855s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/View_Detail_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:55:06,2021-01-21 15:55:46,40.776s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_Export_Data_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 15:55:46,2021-01-21 15:55:56,9.550s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/Export_Data_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:55:47,2021-01-21 15:55:56,9.470s,PASSED
