Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SLIK_Gateway_Non_Customer,Chrome 86.0.4240.111,,,2020-10-28 16:28:49,2020-10-28 16:35:45,6m - 55.709s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/Open Menu SLIK Gateway Non Customer,Chrome 86.0.4240.111,,,2020-10-28 16:28:49,2020-10-28 16:28:57,7.909s,FAILED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/Open_Menu_SLIK_Gateway_Non_Customer.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:28:49,2020-10-28 16:28:57,7.726s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.111,,,2020-10-28 16:28:57,2020-10-28 16:29:01,3.838s,FAILED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:28:57,2020-10-28 16:29:01,3.746s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SELECT KTP NUMBER NON CUSTOMER from DB,Chrome 86.0.4240.111,,,2020-10-28 16:29:01,2020-10-28 16:29:02,1.223s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SELECT_KTP_NUMBER_NON_CUSTOMER_from_DB.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:29:01,2020-10-28 16:29:02,1.116s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Search By KTP,Chrome 86.0.4240.111,,,2020-10-28 16:29:02,2020-10-28 16:29:07,4.548s,FAILED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK_Gateaway_Non_Customer_Search_By_KTP.feature"")",Chrome 86.0.4240.111,,,2020-10-28 16:29:02,2020-10-28 16:29:07,4.459s,FAILED
,,,,,,,
