Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BUKALAPAK_B2B,Chrome 87.0.4280.88,,,2020-12-21 19:17:45,2020-12-22 07:45:28,12h - 27m - 42.709s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Update Tbl CDS CDC TRKRegMistake,Chrome 87.0.4280.88,,,2020-12-21 19:17:46,2020-12-21 19:20:18,2m - 31.807s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Update_Tbl_CDS_CDC_TRK_RegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 19:17:47,2020-12-21 19:20:18,2m - 31.216s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Contract Dispatcher BUKALAPAK B2B,Chrome 87.0.4280.88,,,2020-12-21 19:20:18,2020-12-21 19:23:06,2m - 48.504s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Contract_Dispatcher_BUKALAPAK_B2B.feature"")",Chrome 87.0.4280.88,,,2020-12-21 19:20:18,2020-12-21 19:23:06,2m - 48.433s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Update Tbl CDS CDC TRKRegMistake,Chrome 87.0.4280.88,,,2020-12-21 19:23:06,2020-12-21 19:23:06,0.237s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Update_Tbl_CDS_CDC_TRK_RegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 19:23:06,2020-12-21 19:23:06,0.233s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Claim Contract BUKALAPAK then Save it Without Register Any Mistakes,Chrome 87.0.4280.88,,,2020-12-21 19:23:06,2020-12-21 19:25:22,2m - 15.950s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Claim_Contract_BUKALAPAK_B2B_then_Save_it_Without_Register_Any_Mistakes.feature"")",Chrome 87.0.4280.88,,,2020-12-21 19:23:07,2020-12-21 19:25:22,2m - 15.861s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Update Tbl CDS CDC TRKRegMistake,Chrome 87.0.4280.88,,,2020-12-21 19:25:22,2020-12-21 19:25:23,0.397s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Update_Tbl_CDS_CDC_TRK_RegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 19:25:22,2020-12-21 19:25:23,0.381s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Pick Mistake Without Choose Dropdown Mistake Type,Chrome 87.0.4280.88,,,2020-12-21 19:25:23,2020-12-21 19:30:18,4m - 54.676s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type.feature"")",Chrome 87.0.4280.88,,,2020-12-21 19:25:23,2020-12-21 19:30:18,4m - 54.389s,FAILED
,,,,,,,
